artist_id,artist_name,genres,folowers,popularity
4nZbOHYEypqHtWwTPQu8Fl,Class Actress,"['brooklyn indie', 'metropopolis', 'neo-synthpop']",44157,39
3zxKH0qp3nBCuPZCZT5Vaf,Yellowcard,"['alternative metal', 'pop punk', 'post-grunge', 'socal pop punk']",1461503,62
2ZvrvbQNrHKwjT7qfGFFUW,Herbie Hancock,"['contemporary post-bop', 'instrumental funk', 'jazz', 'jazz funk', 'jazz fusion', 'jazz piano']",672263,55
0dalJaAT80lKfkZsC86lnW,Power Glove,"['cyberpunk', 'synthwave']",75559,43
1xU878Z1QtBldR7ru9owdU,Phoenix,"['alternative dance', 'indie rock', 'modern rock', 'neo-synthpop', 'new rave', 'rock independant francais', 'shimmer pop']",1828731,63
47UDvjDVedKddLfGWk3keI,Robag Wruhme,"['german techno', 'microhouse', 'minimal techno']",55308,33
5iJnzz8Lfh1U3XQpBw95J3,Makeup And Vanity Set,['synthwave'],45713,37
0uAjBatvB4ubpd4kCfjmNt,A Flock Of Seagulls,"['new romantic', 'new wave', 'new wave pop', 'synthpop']",600723,56
3IpQziA6YwD53PQ5xbwgLF,Jóhann Jóhannsson,"['compositional ambient', 'experimental classical', 'icelandic classical', 'icelandic experimental', 'nordic soundtrack', 'soundtrack']",269480,65
3rozot3VgQpf9PIMqYAxlg,Luscious-235,[],103,0
7eOzCiTklgHxfpf6Mb3D2e,Mitch Murder,['synthwave'],89956,40
38euc5ce2q2MMzaoJcPstz,Josh Rouse,[],57901,39
04vj3iPUiVh5melWr0w3xT,Christine and the Queens,"['art pop', 'electro-pop francais', 'metropopolis', 'shimmer pop']",685091,58
0EgHhNmWcjusA7F2heSD0O,Baxter Dury,"['chamber psych', 'electrofox']",118951,47
1l2oLiukA9i5jEtIyNWIEP,Carpenter Brut,"['cyberpunk', 'darksynth', 'synthwave']",413641,54
244uLu9lkdw39BJwlul3k8,Perturbator,"['cyberpunk', 'darksynth', 'synthwave']",324877,51
0kD8IT1CzF7js2XKM9lLLa,STARSET,['future rock'],918862,63
4q2KeruDOYFXarHwsLA2eK,Sonic Mayhem,['future rock'],9618,22
23ymPLjbtAMzTJS2qRtQ8Z,Sébastien Tellier,"['downtempo', 'electrofox', 'electronica', 'filter house', 'french indie pop', 'french indietronica', 'french synthpop']",239057,48
0M2HHtY3OOQzIZxrHkbJLT,M|O|O|N,['synthwave'],132517,45
3mZqziCJj4pq3P2VBpmK6p,Friendly Fires,"['alternative dance', 'dance rock', 'dance-punk', 'electrofox', 'indietronica', 'neo-synthpop', 'new rave', 'nu disco']",227378,40
6vXYoy8ouRVib302zxaxFF,Lorna Shore,"['blackened deathcore', 'melodic metalcore', 'symphonic deathcore']",594271,58
2wouN3QXejYa5tKetYdcVX,Com Truise,"['chillwave', 'indietronica', 'vaporwave']",262190,57
11jVTF2G0ClyW9H9tZeUHM,Arcis,"['chillsynth', 'synthwave']",7453,33
291Vz2qC5SVLJSKA5mrYij,Nightstop,"['cyberpunk', 'synthwave']",38199,44
04an0WtFSvVqQkGrgIxq1Y,Lost Years,['synthwave'],32498,33
3qwabfaWewpfli7hMNM3O8,Róisín Murphy,"['art pop', 'electronica', 'electropop', 'neo-synthpop', 'trip hop']",354801,54
6kBDZFXuLrZgHnvmPu9NsG,Aphex Twin,"['ambient', 'braindance', 'electronica', 'intelligent dance music', 'uk experimental electronic']",1317608,64
2JIf5JxI3ypOSfrfNIIMQE,YELLOW MAGIC ORCHESTRA,"['classic j-rock', 'electro', 'proto-techno', 'synthesizer', 'techno kayo', 'zolo']",322677,45
5BKsn7SCN2XmbF7apdCpRS,Goldfrapp,"['alternative dance', 'art pop', 'electronica', 'indietronica', 'neo-synthpop', 'trip hop']",545974,51
0epOjCSYJ08eUVyMNz5xga,Loom:ngs,[],228,0
1tcgfoMTT1szjUeaikxRjA,Ryuichi Sakamoto,"['compositional ambient', 'japanese classical', 'japanese contemporary classical', 'japanese soundtrack']",911552,61
31DXlldabwPHwu6dYevuzK,Simian Mobile Disco,"['alternative dance', 'electrofox', 'electronica', 'filter house', 'indietronica', 'neo-synthpop', 'new rave']",168523,39
7B2edU3Q7btJoNsoHCNohM,Laura Marling,"['british folk', 'british singer-songwriter', 'chamber pop', 'singer-songwriter']",488657,53
23lGImUs4hiDqnhkNlFJs4,Soft Metals,['grave wave'],5387,7
7ITd48RbLVpUfheE7B86o2,The Decemberists,"['baroque pop', 'canadian indie', 'chamber pop', 'indie rock', 'modern folk rock', 'stomp and holler']",594727,53
5d9PdhcsOsXj0GIM857nvE,Paul Haslinger,"['epicore', 'soundtrack']",13306,39
3cBN6cBqKYBdXjENOSeA8z,Hajk,"['norwegian indie', 'norwegian pop']",10274,26
066X20Nz7iquqkkCW6Jxy6,LCD Soundsystem,"['alternative dance', 'alternative rock', 'art pop', 'dance rock', 'dance-punk', 'electronic rock', 'electronica', 'indie rock', 'indietronica', 'neo-synthpop', 'new rave']",1077354,59
6hyMWrxGBsOx6sWcVj1DqP,Sebastian Ingrosso,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']",946164,61
57emG0pZhSfbfskupwZ4Bu,Alex Kenji,"['funky tech house', 'progressive electro house']",8850,37
1bpzpALZwOoKXzwMg2i8WB,Dirty South,"['australian dance', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']",217600,47
4mncDFjVLUa3s025Tct3Ry,Claptone,"['german house', 'german techno', 'progressive house']",518735,62
28uJnu5EsrGml2tBd7y8ts,Vintage Culture,['brazilian edm'],1774971,71
51Blml2LZPmy7TTiAg47vQ,U2,"['irish rock', 'permanent wave', 'rock']",11838139,77
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,"['r&b', 'rap']",20945261,86
4ON1ruy5ijE7ZPQthbrkgI,Burak Yeter,['electro house'],155941,54
3oNy8cjBtJzLC07I70sklp,Belanova,"['latin arena pop', 'latin pop', 'mexican pop']",1507856,68
3QmmtMrEf7aQrsd1VtejAV,Mœnia,"['latin alternative', 'latin arena pop', 'latin pop', 'mexican pop', 'mexican rock']",856649,62
1xJAOe5igcfHGUbMHxsTBq,Sentidos Opuestos,"['latin pop', 'mexican pop']",1035492,52
3uC20p2EoNm5LYtzSVWdkL,Fey,"['indietronica', 'latin pop', 'mexican pop']",1267837,56
5lNpKXsDcyn87yZhkZGA9a,Byte,['focus beats'],291,9
1dXyzN9oFwtYIbdpMgYB8m,Cesar Vilo,[],1589,33
6rfFUodEv0dJxD1mKbDNdF,Jotdog,"['latin alternative', 'latin arena pop', 'mexican rock']",242988,45
6XmHtVhgpE33VHFEp2V1P8,Playa Limbo,"['latin arena pop', 'latin pop', 'mexican pop']",1843253,56
1TRCsrZwRZKPBJftw4WZKi,Fase Yoda,[],53947,39
10gzBoINW3cLJfZUka8Zoe,Above & Beyond,"['edm', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",780617,61
5YekZn3GGnPIURNA6RG124,Ana Torroja,"['latin arena pop', 'latin pop', 'mexican pop']",709720,57
5n9bMYfz9qss2VOW89EVs2,Bomba Estéreo,"['cumbia', 'latin alternative', 'latin rock', 'pop electronico', 'tropical alternativo']",1038262,68
7JTVqKJ414qRPuDPhdKnHD,Valeria Castro,[],96336,53
6IdtcAwaNVAggwd6sCKgTI,Zoé,"['latin alternative', 'latin rock', 'mexican rock', 'morelos indie', 'rock en espanol']",5658457,71
2z3KntXLyEF5Lvz1kpdBoA,Caloncho,"['guadalajara indie', 'latin alternative', 'latin rock']",786298,64
0E2Lv2XlVGEOMYgYlSFR4T,Pau Muro,['mexican pop'],1558,14
7l6cdPhOLYO7lehz5xfzLV,The Guadaloops,"['mexican hip hop', 'mexican indie']",97466,38
5U5HiTvNUclEE0bwGVDBIX,Azul Violeta,"['funk mexicano', 'latin alternative', 'mexican rock']",115975,36
5enSNzCwMx61gCMv9jaV4Q,Soraya,"['colombian pop', 'latin pop', 'mexican pop']",548978,32
4HncQjB1Qpyke5EJtU3e3Y,JEANS,"['latin arena pop', 'mexican pop']",571811,47
7mWCSSOYqm4E9mB7V4ot6S,Miguel Bosé,"['latin pop', 'mexican pop']",2639381,67
0cc6vw3VN8YlIcvr1v7tBL,Mötley Crüe,"['album rock', 'alternative metal', 'glam metal', 'hard rock', 'metal', 'rock', 'sleaze rock']",4986174,70
3aJBHJUwHkjkGQ4zkG93HP,Tony Dark Eyes,['circuit'],22906,42
1NUXnGPzPYyTiaEegkod3n,Chela Rivas,"['circuit', 'guaracha']",27888,40
5Udwg8yiCTj2zTRt8zKRWH,Ulises Hadjis,['venezuelan indie'],4582,22
1GtZbseNStljOLGycLUbpA,Ragazzi,['mexican pop'],191982,46
1HUbv0v2f9HNE6qIbB35El,Luz Casal,"['cantautor', 'spanish new wave', 'spanish pop']",349294,50
0r8toju2ecKaVtItkzAnNi,Aleks Syntek,"['latin arena pop', 'latin pop', 'mexican pop']",1499087,63
61hAcjvvUS6EXMpeeHwaDi,Kabah,"['latin pop', 'mexican pop']",979422,57
